schemaname,tablename,indexname,indexdef
public,stock,stock_location_product_unique,"CREATE UNIQUE INDEX stock_location_product_unique ON public.stock USING btree (location_id, product_id)"
public,stock,stock_pkey,CREATE UNIQUE INDEX stock_pkey ON public.stock USING btree (id)
public,stock,stock_product_id_idx,CREATE INDEX stock_product_id_idx ON public.stock USING btree (product_id)
public,stock,stock_site_id_idx,CREATE INDEX stock_site_id_idx ON public.stock USING btree (site_id)
public,stock,unique_stock,"CREATE UNIQUE INDEX unique_stock ON public.stock USING btree (location_id, product_id)"
public,stock_import_logs,stock_import_logs_pkey,CREATE UNIQUE INDEX stock_import_logs_pkey ON public.stock_import_logs USING btree (id)
public,user_site_access,user_site_access_pkey,CREATE UNIQUE INDEX user_site_access_pkey ON public.user_site_access USING btree (id)
public,user_site_access,user_site_access_site_idx,CREATE INDEX user_site_access_site_idx ON public.user_site_access USING btree (site_id)
public,user_site_access,user_site_access_user_id_site_id_key,"CREATE UNIQUE INDEX user_site_access_user_id_site_id_key ON public.user_site_access USING btree (user_id, site_id)"
public,user_site_access,user_site_access_user_idx,CREATE INDEX user_site_access_user_idx ON public.user_site_access USING btree (user_id)
public,zones,zones_pkey,CREATE UNIQUE INDEX zones_pkey ON public.zones USING btree (id)
